property_place_id,nearby_place_id,name,address,place_type,rating,user_ratings_total
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJRSRGAVM6GJYRqY99wPFwgTM,Juan Maestro,"Urmeneta 580 Local 303-304, Puerto Montt",restaurant,3.3,15.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJzRJiXqw7GJYRsDyt8KdAVfw,El Fogón de Pepe,"Rengifo 845, Puerto Montt",restaurant,4.6,2021.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJyaR5wKw7GJYR-y29nOuAPPw,Da Alessandro Trattoria Puerto Montt,"Rengifo 815, Puerto Montt, Puerto Montt",restaurant,4.4,1539.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJM83bBwA7GJYRRha6PydXjrU,La cocina de Balmaceda,"José Manuel Balmaceda 241, Puerto Montt",restaurant,5.0,4.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJTQay75Y7GJYRQndvih_7vUg,LLacolen Pub Restaurante,"Aníbal Pinto 249, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJNSj5_Gs7GJYRtd5empU4iBY,Karamba Chinese food,"Rengifo 832, Puerto Montt",restaurant,4.8,13.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJebacjaw7GJYRGzMif4T9YXQ,Servicios De Restaurante Y Cafeteria Patricio Jose Olivares Hinojosa Empresa Ind,"Rengifo 840, Puerto Montt, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ0fQRCwA7GJYRopNUfvPIeqs,China Express,"Urmeneta, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ90VFiqw7GJYRpJeb6qxRkwg,Doña Julia,"Baquedano 285, Puerto Montt",restaurant,3.7,213.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJmTUNJK07GJYRbhci9yxdrZ4,bar restaurant Mirador a la bahía,"Aníbal Pinto 118, Puerto Montt",restaurant,4.5,465.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ1djYqLw7GJYRexz-Vksps5k,Tradiciones Peruanas Restaurant,"Rengifo 863, Puerto Montt",restaurant,4.3,639.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJOS94_VI6GJYRqxKLOt8BmG4,KFC,"Urmeneta 603, Puerto Montt",restaurant,3.0,7.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJG3S1W8M7GJYRdu6vmPyfp6c,Austral Burger Bar,"Rengifo 862, Puerto Montt",restaurant,4.3,36.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJL6YxA1M6GJYR5maIfKGLxjU,"Pedro, Juan y Diego","Urmeneta 580, Puerto Montt",restaurant,1.8,42.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJVaHoHFM6GJYR0wIDt75RJbs,Buffet Express,"Urmeneta 580, Puerto Montt, Puerto Montt",restaurant,1.1,16.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJja7PJlU7GJYRVhm0lhWm6yo,Restaurant Sabor Peruano,"Baquedano 867, Puerto Montt",restaurant,4.6,232.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ4zZZMFM6GJYRhFQRFQUj25g,Express de Lider,"Benavente 690, Puerto Montt, Puerto Montt",supermarket,4.2,2689.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ0fucAVM6GJYRoNfIMQsNEE0,Unimarc supermarket Mall Paseo del Mar,"Urmeneta 574, Puerto Montt, Puerto Montt",supermarket,3.8,1220.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJqw_Ckfo6GJYRMkfnBxr1-1Q,Papa Johns Pizza,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,4.4,1711.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJn4ZvX_A6GJYRXspedjir8wA,PATAGONIA BURGER,"Monseñor Ramon Munita 1544, Puerto Montt, Puerto Montt",restaurant,4.4,397.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJg-E0bpU7GJYR4BFvqCWgNQo,Breko Express,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,2.3,4.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJQQtLblc7GJYR4coIVsvk_SI,Roof Burger,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.6,93.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ-8VeT007GJYR7h63HvEAE2I,Stop Sandwich,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,4.8,5.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ_d6GPPk7GJYRz8M_ipHbx4k,EL GRAN POLLO MUNITA,"Monseñor Ramon Munita 1600, local 14, Puerto Montt",restaurant,4.0,7.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJS6cmSwA7GJYRfLS7ko4s85Q,KFC,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.1,82.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJJ0jGYwA7GJYRHEahL6gpwpA,Los Pollos Amigos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,5.0,2.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJeXX-GQA7GJYRkXQLht-aFJI,Los pollos primos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJu1IFsYc7GJYRqwgU96jwjfI,El Quinto Coño,"La Tirana 1280, Puerto Montt",restaurant,3.9,12.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJf-A6t_s6GJYR_oWj-OyRtd0,Yo Retiro,"Antihual 252, Puerto Montt, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJMVFk-cQ7GJYRLmmz84Z_CCY,Placer De Sushi Puerto Montt,"Antihual 515, Puerto Montt, Puerto Montt",restaurant,4.4,44.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJAaiavfo6GJYR5p9LO9BslE0,Express de Lider,"Monseñor Ramon Munita 1625, Puerto Montt, Puerto Montt",supermarket,4.2,2538.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJrW1kNYs7GJYRNBlqqhv-kNM,Botilleria millaray,"Antihual 635, Puerto Montt, Puerto Montt",supermarket,5.0,1.0
ChIJfSEnkY46GJYRKDMPe0APXN8,ChIJyT22wsU7GJYRLi4xro-1kdU,Milcalis,"Pasaje nuevo 4, Puerto Montt",restaurant,5.0,2.0
ChIJfSEnkY46GJYRKDMPe0APXN8,ChIJZX8iq-s7GJYRNCxowbml46w,Quincho Los Doninicos,"Volcán Corcovado, Puerto Montt, Puerto Montt",restaurant,4.4,7.0
ChIJfSEnkY46GJYRKDMPe0APXN8,ChIJvzBHn547GJYR0lFKEsRV22o,Mini Market Los Domínicos,"Volcán Corcovado 5600, Puerto Montt, Puerto Montt",supermarket,5.0,30.0
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJs_9U2_87GJYRk5ZmfWmvDIY,Minimarket Samy,"Villa, Antihual 1215, Puerto Montt",supermarket,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJRSRGAVM6GJYRqY99wPFwgTM,Juan Maestro,"Urmeneta 580 Local 303-304, Puerto Montt",restaurant,3.3,15.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJzRJiXqw7GJYRsDyt8KdAVfw,El Fogón de Pepe,"Rengifo 845, Puerto Montt",restaurant,4.6,2021.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJyaR5wKw7GJYR-y29nOuAPPw,Da Alessandro Trattoria Puerto Montt,"Rengifo 815, Puerto Montt, Puerto Montt",restaurant,4.4,1539.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJM83bBwA7GJYRRha6PydXjrU,La cocina de Balmaceda,"José Manuel Balmaceda 241, Puerto Montt",restaurant,5.0,4.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJTQay75Y7GJYRQndvih_7vUg,LLacolen Pub Restaurante,"Aníbal Pinto 249, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJNSj5_Gs7GJYRtd5empU4iBY,Karamba Chinese food,"Rengifo 832, Puerto Montt",restaurant,4.8,13.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJebacjaw7GJYRGzMif4T9YXQ,Servicios De Restaurante Y Cafeteria Patricio Jose Olivares Hinojosa Empresa Ind,"Rengifo 840, Puerto Montt, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ0fQRCwA7GJYRopNUfvPIeqs,China Express,"Urmeneta, Puerto Montt",restaurant,,
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ90VFiqw7GJYRpJeb6qxRkwg,Doña Julia,"Baquedano 285, Puerto Montt",restaurant,3.7,213.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJmTUNJK07GJYRbhci9yxdrZ4,bar restaurant Mirador a la bahía,"Aníbal Pinto 118, Puerto Montt",restaurant,4.5,465.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ1djYqLw7GJYRexz-Vksps5k,Tradiciones Peruanas Restaurant,"Rengifo 863, Puerto Montt",restaurant,4.3,639.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJOS94_VI6GJYRqxKLOt8BmG4,KFC,"Urmeneta 603, Puerto Montt",restaurant,3.0,7.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJG3S1W8M7GJYRdu6vmPyfp6c,Austral Burger Bar,"Rengifo 862, Puerto Montt",restaurant,4.3,36.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJL6YxA1M6GJYR5maIfKGLxjU,"Pedro, Juan y Diego","Urmeneta 580, Puerto Montt",restaurant,1.8,42.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJVaHoHFM6GJYR0wIDt75RJbs,Buffet Express,"Urmeneta 580, Puerto Montt, Puerto Montt",restaurant,1.1,16.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJja7PJlU7GJYRVhm0lhWm6yo,Restaurant Sabor Peruano,"Baquedano 867, Puerto Montt",restaurant,4.6,232.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ4zZZMFM6GJYRhFQRFQUj25g,Express de Lider,"Benavente 690, Puerto Montt, Puerto Montt",supermarket,4.2,2689.0
ChIJfwMlsqw7GJYRiAtToBq55zc,ChIJ0fucAVM6GJYRoNfIMQsNEE0,Unimarc supermarket Mall Paseo del Mar,"Urmeneta 574, Puerto Montt, Puerto Montt",supermarket,3.8,1220.0
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
EjdBdi4gQ3VhcnRhIFRlcnJhemEgMTg2MCwgUHVlcnRvIE1vbnR0LCBMb3MgTGFnb3MsIENoaWxlIjESLwoUChIJMT7VY-M6GJYRqZnWr3_s1Y4QxA4qFAoSCd9uOp7kOhiWEYAbmd62OpDk,ChIJs_9U2_87GJYRk5ZmfWmvDIY,Minimarket Samy,"Villa, Antihual 1215, Puerto Montt",supermarket,,
ChIJY-1OMZY7GJYRxlwiNrEavRY,ChIJSfOYOZY7GJYRwU5s9nhiOA4,Sea Salmon Limitada,"Nva Cinco 261, Puerto Montt, Puerto Montt",restaurant,4.0,1.0
ChIJY-1OMZY7GJYRxlwiNrEavRY,ChIJ_0Culwo7GJYRP9FxyAWgDWg,Guaxos Burgers,"Crucero 2037, Puerto Montt",restaurant,3.0,47.0
ChIJY-1OMZY7GJYRxlwiNrEavRY,ChIJg0sxbJc7GJYRaVVJjyQ8uKM,Soto Rivera Oscar Mauricio,"Avenida Los Notros 502, Puerto Montt, Puerto Montt",restaurant,3.5,4.0
ChIJY-1OMZY7GJYRxlwiNrEavRY,ChIJS7gLXIo7GJYR7XeZ7O1n57I,Que Chevere Pizzeria,"Crucero 2035, Puerto Montt",restaurant,4.7,232.0
ChIJ82jiuqcwGJYRMTVRhkwC0YM,ChIJ48DRdGIxGJYRRn2Y-h7xEy0,Costa Nostra Pelluco,"Calle San Javier 2013, Puerto Montt",restaurant,4.8,5.0
ChIJCX0pPIU6GJYRRsXgcaz33MI,ChIJ64hxWoU6GJYRSXVgabXngxo,MiniMercado Lucas,"Pasaje Lago Tepuhueico 1999, Puerto Montt, Puerto Montt",supermarket,4.9,9.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJQ3Y6M647GJYRcaRC527p2xg,El Faro,"Ecuador 1219, Puerto Montt, Puerto Montt",restaurant,4.5,2.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJt6BYWQA7GJYRy7W872PGVkY,La bodeguita,"Augusto Trautmann, 1312puerto Montt",restaurant,5.0,1.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJ48BhLa47GJYRkYbRsCCsvQA,Restaurante comida la korito,"calle ecuador 1350 puerto montt 5840000, Puerto Montt",restaurant,4.6,81.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJcVFzYDs7GJYRPazx2O4sh74,Restaurante La picá del Capitán,"Calle Constitución 244, Puerto Montt",restaurant,4.4,221.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJH5LlhaU7GJYR9GZzlLgbwq4,Banquetería Carrasco,"Doctor Bernardo Phillippi, Puerto Montt, Puerto Montt",restaurant,4.3,4.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJU1WLKK47GJYRmNhp8w6qTbg,María Sonia Baez Mancilla,"Chorrillos 1285, Puerto Montt",restaurant,4.3,3.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJDYN4Yt87GJYRiYD9Hmv9Szk,Aromas de Mi Tierra,"Buenos Aires 1409, Puerto Montt, Puerto Montt",restaurant,5.0,2.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJWctUrwk7GJYRgcTF3xWlOCQ,La bodega 2,"Chorrillos 1380, Puerto Montt, Puerto Montt",restaurant,4.5,45.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJt2CsZaQ7GJYR5-n09iHxfg8,Restaurante Fusion LJ,"Chorrillos 1430, Puerto Montt, Puerto Montt",restaurant,3.0,2.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJLwJBwrE7GJYRkju4MyrkrFI,Restaurant Cirus Bar,"Miraflores 1177, Puerto Montt, Puerto Montt",restaurant,4.4,1202.0
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJU3mC1LE7GJYRwZYiv9sMMMk,Lubricantes Crescent,"Chorrillos 1323, Puerto Montt, Puerto Montt",supermarket,,
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJp5ZYs9I7GJYRg2rdtWHR5tA,Almacén La Shanita,"Wolleter 349, Puerto Montt, Puerto Montt",supermarket,,
ChIJOca56a87GJYRBhR6e5Cuv-E,ChIJ13GlhaU7GJYRqBup4vwMN8Q,Supermercado Machado,"Crucero 1287, Puerto Montt",supermarket,4.3,75.0
ChIJbcqgt-U6GJYRm3gNBLRp1P8,ChIJ2xm5ig87GJYR82Nalq1bYOI,RR Colaciones,"Calle Pailahuen 1967, Puerto Montt",restaurant,4.9,74.0
ChIJbcqgt-U6GJYRm3gNBLRp1P8,ChIJL6RWUuY6GJYR1qPwnEg7nls,Restaurante Juksan,"Sargento Silva 1784, Puerto Montt, Puerto Montt",restaurant,4.4,72.0
ChIJbcqgt-U6GJYRm3gNBLRp1P8,ChIJd89figg7GJYRXaXPLqP_80c,Bqto Market,"Calle Pailahuen 1962, Puerto Montt",supermarket,4.8,6.0
ChIJbcqgt-U6GJYRm3gNBLRp1P8,ChIJhQrOWZM7GJYRHkr2eQq6I2o,Supermercado La Base,"Calle Pailahuen 1977, Puerto Montt",supermarket,4.8,19.0
ChIJbcqgt-U6GJYRm3gNBLRp1P8,ChIJuSSICpM6GJYRE_1uC9UHk1s,Santa Isabel,"Avenida Austral 1400, Puerto Montt, Puerto Montt",supermarket,4.3,1149.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJ58iTv5I6GJYRrcsZM3tfMUE,Pan con Chancho,"Volcán Hornopirén 1728 local 2, Puerto Montt",restaurant,4.8,62.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJ79uLWAA7GJYRbJO3cXf_UaE,Casa Oriental Chinese Food,"Avenida Austral 1828, Puerto Montt",restaurant,5.0,9.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJMxzwlZI6GJYRPzQGduIQihc,Unimarc,"Volcán Hornopirén, Puerto Montt",supermarket,4.0,589.0
ChIJW4XJjeo7GJYRb7ZJ0e-kjRY,ChIJeVtAvpI6GJYRBdskha6_8b4,LOS VOLCANES,"LOS VOLCANES N° 585, Puerto Montt",supermarket,4.3,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ8Ylb7047GJYRvrCkD-vNnhs,Terraza Bistro,"Maratón 1078, Puerto Montt",restaurant,3.6,5.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJCX0pPIU6GJYRRsXgcaz33MI,ChIJ64hxWoU6GJYRSXVgabXngxo,MiniMercado Lucas,"Pasaje Lago Tepuhueico 1999, Puerto Montt, Puerto Montt",supermarket,4.9,9.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ8Ylb7047GJYRvrCkD-vNnhs,Terraza Bistro,"Maratón 1078, Puerto Montt",restaurant,3.6,5.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ8Ylb7047GJYRvrCkD-vNnhs,Terraza Bistro,"Maratón 1078, Puerto Montt",restaurant,3.6,5.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJZ3MdbgA7GJYRcxrBwUtOybA,La Sazón Familiar,"Río Chamiza, Manzana 29 Casa#6, Puerto Montt",restaurant,5.0,4.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJq4UWPmw6GJYRbFkIVXh2JQg,Skylab,"General Merino Benítez 263, Puerto Montt, Puerto Montt",supermarket,4.4,306.0
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJ5ZpAd1I7GJYRRkDFiHFmW5s,Minimercado Rio del Este,"Población Pichi Pelluco, Río del Este 22, Puerto Montt, Puerto Montt",supermarket,,
ChIJp-rJ0j87GJYRkWpcaXn8ITo,ChIJz3zPxSw7GJYRMCrJDRTaykg,Luis Antonio Lizana Díaz,"Maratón 1008, Puerto Montt, Puerto Montt",supermarket,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJqw_Ckfo6GJYRMkfnBxr1-1Q,Papa Johns Pizza,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,4.4,1711.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJn4ZvX_A6GJYRXspedjir8wA,PATAGONIA BURGER,"Monseñor Ramon Munita 1544, Puerto Montt, Puerto Montt",restaurant,4.4,397.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJg-E0bpU7GJYR4BFvqCWgNQo,Breko Express,"Monseñor Ramon Munita 1625, Puerto Montt",restaurant,2.3,4.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJQQtLblc7GJYR4coIVsvk_SI,Roof Burger,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.6,93.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ-8VeT007GJYR7h63HvEAE2I,Stop Sandwich,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,4.8,5.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJ_d6GPPk7GJYRz8M_ipHbx4k,EL GRAN POLLO MUNITA,"Monseñor Ramon Munita 1600, local 14, Puerto Montt",restaurant,4.0,7.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJS6cmSwA7GJYRfLS7ko4s85Q,KFC,"Monseñor Ramon Munita 1600, Puerto Montt",restaurant,3.1,82.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJJ0jGYwA7GJYRHEahL6gpwpA,Los Pollos Amigos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,5.0,2.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJeXX-GQA7GJYRkXQLht-aFJI,Los pollos primos,"Monseñor Ramon Munita 1572, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJu1IFsYc7GJYRqwgU96jwjfI,El Quinto Coño,"La Tirana 1280, Puerto Montt",restaurant,3.9,12.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJdzDd9JgnGJYRw7rDxpD3twg,Las.Delicias de Seba,"Manihual 285, Puerta del Sol, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJf-A6t_s6GJYR_oWj-OyRtd0,Yo Retiro,"Antihual 252, Puerto Montt, Puerto Montt",restaurant,,
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJMVFk-cQ7GJYRLmmz84Z_CCY,Placer De Sushi Puerto Montt,"Antihual 515, Puerto Montt, Puerto Montt",restaurant,4.4,44.0
ChIJW45wKio7GJYRU3Cjs_boKnA,ChIJAaiavfo6GJYR5p9LO9BslE0,Express de Lider,"Monseñor Ramon Munita 1625, Puerto Montt, Puerto Montt",supermarket,4.2,2538.0
